===== 任务四训练日志 | 时间：2026-02-24 23:43:45 =====
Warmup启用：True | Mixup启用：True
运行设备: cuda

===== 模型结构：基于任务三SimpleCNN优化 =====
模型参数量(Parameters)：981.130K | 原始数值：981130.0
模型计算量(FLOPs)：15.877M | 原始数值：15877376.0
轻量化权衡：参数量控制在1.5M以内，FLOPs控制在100M以内，同时保证准确率≥80%

===== 开始训练 | 总轮次：80 =====
Epoch 1 完成 | 训练Acc：24.33% | 验证Acc：42.16% | 学习率：0.000400

Epoch 2 完成 | 训练Acc：33.61% | 验证Acc：45.74% | 学习率：0.000600

Epoch 3 完成 | 训练Acc：38.02% | 验证Acc：51.16% | 学习率：0.000800

Epoch 4 完成 | 训练Acc：39.73% | 验证Acc：52.92% | 学习率：0.001000

Epoch 5 完成 | 训练Acc：42.42% | 验证Acc：54.56% | 学习率：0.001000

Epoch 6 完成 | 训练Acc：44.70% | 验证Acc：61.64% | 学习率：0.001000

Epoch 7 完成 | 训练Acc：45.45% | 验证Acc：61.60% | 学习率：0.001000

Epoch 8 完成 | 训练Acc：47.66% | 验证Acc：61.86% | 学习率：0.001000

Epoch 9 完成 | 训练Acc：48.32% | 验证Acc：66.34% | 学习率：0.001000

Epoch 10 完成 | 训练Acc：48.73% | 验证Acc：68.68% | 学习率：0.001000

Epoch 11 完成 | 训练Acc：50.86% | 验证Acc：69.16% | 学习率：0.001000

Epoch 12 完成 | 训练Acc：51.82% | 验证Acc：70.64% | 学习率：0.001000

Epoch 13 完成 | 训练Acc：52.34% | 验证Acc：68.60% | 学习率：0.001000

Epoch 14 完成 | 训练Acc：52.16% | 验证Acc：67.96% | 学习率：0.001000

Epoch 15 完成 | 训练Acc：53.26% | 验证Acc：69.68% | 学习率：0.001000

Epoch 16 完成 | 训练Acc：54.82% | 验证Acc：69.62% | 学习率：0.001000

Epoch 17 完成 | 训练Acc：53.56% | 验证Acc：72.16% | 学习率：0.001000

Epoch 18 完成 | 训练Acc：54.46% | 验证Acc：74.14% | 学习率：0.001000

Epoch 19 完成 | 训练Acc：54.54% | 验证Acc：69.78% | 学习率：0.001000

Epoch 20 完成 | 训练Acc：56.07% | 验证Acc：74.32% | 学习率：0.001000

Epoch 21 完成 | 训练Acc：54.57% | 验证Acc：75.72% | 学习率：0.001000

Epoch 22 完成 | 训练Acc：55.53% | 验证Acc：76.00% | 学习率：0.001000

Epoch 23 完成 | 训练Acc：56.80% | 验证Acc：74.96% | 学习率：0.001000

Epoch 24 完成 | 训练Acc：57.33% | 验证Acc：77.02% | 学习率：0.001000

Epoch 25 完成 | 训练Acc：55.73% | 验证Acc：75.70% | 学习率：0.001000

Epoch 26 完成 | 训练Acc：56.02% | 验证Acc：75.62% | 学习率：0.001000

Epoch 27 完成 | 训练Acc：56.99% | 验证Acc：77.74% | 学习率：0.001000

Epoch 28 完成 | 训练Acc：57.72% | 验证Acc：76.32% | 学习率：0.001000

Epoch 29 完成 | 训练Acc：57.16% | 验证Acc：76.18% | 学习率：0.001000

Epoch 30 完成 | 训练Acc：57.58% | 验证Acc：75.98% | 学习率：0.001000

Epoch 31 完成 | 训练Acc：56.79% | 验证Acc：77.66% | 学习率：0.001000

Epoch 32 完成 | 训练Acc：57.45% | 验证Acc：76.98% | 学习率：0.001000

Epoch 33 完成 | 训练Acc：57.45% | 验证Acc：77.56% | 学习率：0.001000

Epoch 34 完成 | 训练Acc：58.88% | 验证Acc：78.26% | 学习率：0.001000

Epoch 35 完成 | 训练Acc：58.30% | 验证Acc：77.72% | 学习率：0.001000

Epoch 36 完成 | 训练Acc：59.05% | 验证Acc：78.12% | 学习率：0.001000

Epoch 37 完成 | 训练Acc：59.76% | 验证Acc：75.08% | 学习率：0.001000

Epoch 38 完成 | 训练Acc：59.13% | 验证Acc：78.38% | 学习率：0.001000

Epoch 39 完成 | 训练Acc：58.51% | 验证Acc：78.60% | 学习率：0.001000

Epoch 40 完成 | 训练Acc：58.32% | 验证Acc：78.76% | 学习率：0.001000

Epoch 41 完成 | 训练Acc：60.16% | 验证Acc：76.58% | 学习率：0.001000

Epoch 42 完成 | 训练Acc：59.94% | 验证Acc：79.02% | 学习率：0.001000

Epoch 43 完成 | 训练Acc：58.98% | 验证Acc：79.24% | 学习率：0.001000

Epoch 44 完成 | 训练Acc：57.78% | 验证Acc：78.60% | 学习率：0.001000

Epoch 45 完成 | 训练Acc：60.47% | 验证Acc：78.36% | 学习率：0.001000

Epoch 46 完成 | 训练Acc：59.91% | 验证Acc：78.94% | 学习率：0.001000

Epoch 47 完成 | 训练Acc：60.52% | 验证Acc：79.42% | 学习率：0.001000

Epoch 48 完成 | 训练Acc：60.05% | 验证Acc：78.20% | 学习率：0.001000

Epoch 49 完成 | 训练Acc：59.25% | 验证Acc：79.86% | 学习率：0.001000

Epoch 50 完成 | 训练Acc：60.80% | 验证Acc：80.02% | 学习率：0.001000

Epoch 51 完成 | 训练Acc：58.32% | 验证Acc：80.00% | 学习率：0.001000

Epoch 52 完成 | 训练Acc：58.02% | 验证Acc：80.30% | 学习率：0.001000
